Learning_Rate, Iterations, Train_MSE, Test_MSE
0.0001, 1000, 409702675623652542711332864.00, 75512612709904203776.00
0.0001, 2000, 409702675636657153927806976.00, 75512612709904252928.00
0.0001, 3000, 409702675649661833863757824.00, 75512612709904269312.00
1e-05, 1000, 410641.99, 583896.00
1e-05, 2000, 410640.40, 583907.56
1e-05, 3000, 410640.40, 583908.21
1e-06, 1000, 410891.44, 583528.88
1e-06, 2000, 410720.97, 583413.05
1e-06, 3000, 410627.66, 583360.19

Best Parameters Report:
LR: 1e-06, Iterations: 3000, Test MSE: 583360.19, R2: 0.3954
